kanji,on,romaji on,kun,romaji kun,meaning,level,on…romaji kun
比,ヒ,hi,くらべる,kuraberu ,compare; race; ratio; Phillipines;,2,ヒ…くらべる
泌,ヒツ ヒ,hitsu hi,,,ooze; flow; soak in; penetrate; secrete;,1,ヒツ ヒ…
疲,ヒ,hi,つかれる つからす,tsukareru tsukarasu ,exhausted; tire; weary;,2,ヒ…つかれる つからす
皮,ヒ,hi,かわ けがわ,kawa kegawa ,pelt; skin; hide; leather;,2,ヒ…かわ けがわ
碑,ヒ,hi,いしぶみ,ishibumi ,tombstone; monument;,1,ヒ…いしぶみ
秘,ヒ,hi,ひめる ひそか かくす,himeru hisoka kakusu ,secret; conceal;,1,ヒ…ひめる ひそか かくす
緋,ヒ,hi,あけ あか,ake aka ,scarlet; cardinal;,1,ヒ…あけ あか
罷,ヒ,hi,まかり- やめる,makari yameru ,quit; stop; leave; withdraw; go;,1,ヒ…まかり- やめる
肥,ヒ,hi,こえる こえ こやす こやし ふとる,koeru koe koyasu koyashi futoru ,fertilizer; get fat; fertile; manure; pamper;,1,ヒ…こえる こえ こやす こやし ふとる
被,ヒ,hi,こうむる おおう かぶる かぶせる,koumuru oou kaburu kabuseru ,incur; cover; veil; brood over; shelter; wear; put on; be exposed (film); receiving;,2,ヒ…こうむる おおう かぶる かぶせる
費,ヒ,hi,ついやす ついえる,tsuiyasu tsuieru ,expense; cost; spend; consume; waste;,2,ヒ…ついやす ついえる
避,ヒ,hi,さける よける,sakeru yokeru ,evade; avoid; avert; ward off; shirk; shun;,1,ヒ…さける よける
非,ヒ,hi,あらず,arazu ,un-; mistake; negative; injustice; non-;,2,ヒ…あらず
飛,ヒ,hi,とぶ とばす,tobu tobasu ,fly; skip (pages); scatter;,2,ヒ…とぶ とばす
備,ビ,bi,そなえる そなわる つぶさに,sonaeru sonawaru tsubusani ,equip; provision; preparation;,2,ビ…そなえる そなわる つぶさに
尾,ビ,bi,お,o ,tail; end; counter for fish; lower slope of mountain;,1,ビ…お
微,ビ,bi,かすか,kasuka ,delicate; minuteness; insignificance;,1,ビ…かすか
美,ビ ミ,bi mi,うつくしい,utsukushii ,beauty; beautiful;,2,ビ ミ…うつくしい
鼻,ビ,bi,はな,hana ,nose; snout;,2,ビ…はな
匹,ヒツ,hitsu,ひき,hiki ,equal; head; counter for small animals; roll of cloth;,2,ヒツ…ひき
彦,ゲン,gen,ひこ,hiko ,lad; boy (ancient);,1,ゲン…ひこ
必,ヒツ,hitsu,かならず,kanarazu ,invariably; certain; inevitable;,2,ヒツ…かならず
筆,ヒツ,hitsu,ふで,fude ,writing brush; writing; painting brush; handwriting;,2,ヒツ…ふで
姫,キ,ki,ひめ ひめ-,hime hime ,princess;,1,キ…ひめ ひめ-
百,ヒャク ビャク,hyaku byaku,もも,momo ,hundred;,4,ヒャク ビャク…もも
俵,ヒョウ,hyou,たわら,tawara ,bag; bale; sack; counter for bags;,1,ヒョウ…たわら
標,ヒョウ,hyou,しるべ しるし,shirube shirushi ,signpost; seal; mark; stamp; imprint; symbol; emblem; trademark; evidence; souvenir; target;,1,ヒョウ…しるべ しるし
氷,ヒョウ,hyou,こおり ひ こおる,koori hi kooru ,icicle; ice; hail; freeze; congeal;,2,ヒョウ…こおり ひ こおる
漂,ヒョウ,hyou,ただよう,tadayou ,drift; float (on liquid);,1,ヒョウ…ただよう
票,ヒョウ,hyou,,,ballot; label; ticket; sign;,1,ヒョウ…
表,ヒョウ,hyou,おもて あらわす あらわれる あらわす,omote arawasu arawareru arawasu ,surface; table; chart; diagram;,2,ヒョウ…おもて あらわす あらわれる あらわす
評,ヒョウ,hyou,,,evaluate; criticism; comment;,1,ヒョウ…
描,ビョウ,byou,えがく かく,egaku kaku ,sketch; compose; write; draw; paint;,1,ビョウ…えがく かく
病,ビョウ ヘイ,byou hei,やむ やまい,yamu yamai ,ill; sick;,3,ビョウ ヘイ…やむ やまい
秒,ビョウ,byou,,,second (1/60 minute);,2,ビョウ…
苗,ビョウ ミョウ,byou myou,なえ なわ-,nae nawa ,seedling; sapling; shoot;,1,ビョウ ミョウ…なえ なわ-
品,ヒン ホン,hin hon,しな,shina ,goods; refinement; dignity; article; counter for meal courses;,3,ヒン ホン…しな
彬,ヒン フン,hin hun,うるわしい あきらか,uruwashii akiraka ,refined; gentle;,1,ヒン フン…うるわしい あきらか
浜,ヒン,hin,はま,hama ,seacoast; beach; seashore;,1,ヒン…はま
貧,ヒン ビン,hin bin,まずしい,mazushii ,poverty; poor;,2,ヒン ビン…まずしい
賓,ヒン,hin,,,V.I.P.; guest;,1,ヒン…
頻,ヒン,hin,しきりに,shikirini ,repeatedly; recur;,1,ヒン…しきりに
敏,ビン,bin,さとい,satoi ,cleverness; agile; alert;,1,ビン…さとい
瓶,ビン,bin,かめ,kame ,flower pot; bottle; vial; jar; jug; vat; urn;,2,ビン…かめ
不,フ ブ,hu bu,,,negative; non-; bad; ugly; clumsy;,3,フ ブ…
付,フ,hu,つける つけ つけ- つく つき,tsukeru tsuke tsuke tsuku tsuki ,adhere; attach; refer to; append;,2,フ…つける つけ つけ- つく つき
夫,フ フウ ブ,hu huu bu,おっと それ,oto sore ,husband; man;,2,フ フウ ブ…おっと それ
婦,フ,hu,,,lady; woman; wife; bride;,2,フ…
富,フ フウ,hu huu,とむ とみ,tomu tomi ,wealth; enrich; abundant;,2,フ フウ…とむ とみ
布,フ,hu,ぬの,nuno ,linen; cloth;,2,フ…ぬの
府,フ,hu,,,borough; urban prefecture; govt office; representative body; storehouse;,2,フ…
怖,フ ホ,hu ho,こわい こわがる おじる おそれる,kowai kowagaru ojiru osoreru ,dreadful; be frightened; fearful;,2,フ ホ…こわい こわがる おじる おそれる
扶,フ,hu,たすける,tasukeru ,aid; help; assist;,1,フ…たすける
敷,フ,hu,しく,shiku ,spread; pave; sit; promulgate;,1,フ…しく
普,フ,hu,あまねく あまねし,amaneku amaneshi ,universal; wide(ly); generally; Prussia;,2,フ…あまねく あまねし
浮,フ,hu,うく うかれる うかぶ む うかべる,uku ukareru ukabu mu ukaberu ,floating; float; rise to surface;,2,フ…うく うかれる うかぶ む うかべる
父,フ,hu,ちち,chichi ,father;,4,フ…ちち
符,フ,hu,,,token; sign; mark; tally; charm;,2,フ…
腐,フ,hu,くさる くされる くされ くさらす くさす,kusaru kusareru kusare kusarasu kusasu ,rot; decay; sour;,1,フ…くさる くされる くされ くさらす くさす
膚,フ,hu,はだ,hada ,skin; body; grain; texture; disposition;,2,フ…はだ
芙,フ,hu,,,lotus; Mt Fuji;,1,フ…
譜,フ,hu,,,musical score; music; note; staff; table; genealogy;,1,フ…
負,フ,hu,まける まかす おう,makeru makasu ou ,defeat; negative; -; minus; bear; owe; assume a responsibility;,2,フ…まける まかす おう
賦,フ ブ,hu bu,,,levy; ode; prose; poem; tribute; installment;,1,フ ブ…
赴,フ,hu,おもむく,omomuku ,proceed; get; become; tend;,1,フ…おもむく
附,フ,hu,つける つく,tsukeru tsuku ,affixed; attach; refer to; append;,1,フ…つける つく
侮,ブ,bu,あなどる あなずる,anadoru anazuru ,scorn; despise; make light of; contempt;,1,ブ…あなどる あなずる
武,ブ ム,bu mu,たけし,takeshi ,warrior; military; chivalry; arms;,2,ブ ム…たけし
舞,ブ,bu,まう まい,mau mai ,dance; flit; circle; wheel;,2,ブ…まう まい
部,ブ,bu,,,section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine;,2,ブ…
封,フウ ホウ,huu hou,,,seal; closing;,2,フウ ホウ…
楓,フウ,huu,かえで,kaede ,maple;,1,フウ…かえで
風,フウ フ,huu hu,かぜ かざ-,kaze kaza ,wind; air; style; manner;,3,フウ フ…かぜ かざ-
蕗,ロ ル,ro ru,ふき,fuki ,butterbur; bog rhubarb;,1,ロ ル…ふき
伏,フク,huku,ふせる ふす,fuseru fusu ,prostrated; bend down; bow; cover; lay (pipes);,1,フク…ふせる ふす
副,フク,huku,,,vice-; duplicate; copy;,2,フク…
復,フク,huku,また,mata ,restore; return to; revert; resume;,2,フク…また
幅,フク,huku,はば,haba ,hanging scroll; width;,2,フク…はば
服,フク,huku,,,clothing; admit; obey; discharge;,3,フク…
福,フク,huku,,,blessing; fortune; luck; wealth;,2,フク…
腹,フク,huku,はら,hara ,abdomen; belly; stomach;,2,フク…はら
複,フク,huku,,,duplicate; double; compound; multiple;,2,フク…
覆,フク,huku,おおう くつがえす くつがえる,oou kutsugaesu kutsugaeru ,capsize; cover; shade; mantle; be ruined;,1,フク…おおう くつがえす くつがえる
払,フツ ヒツ ホツ,hutsu hitsu hotsu,はらう,harau ,pay; clear out; prune; banish; dispose of;,2,フツ ヒツ ホツ…はらう
沸,フツ,hutsu,わく わかす,waku wakasu ,seethe; boil; ferment; uproar; breed;,2,フツ…わく わかす
仏,ブツ フツ,butsu hutsu,ほとけ,hotoke ,Buddha; the dead; France;,2,ブツ フツ…ほとけ
物,ブツ モツ,butsu motsu,もの もの-,mono mono ,thing; object; matter;,3,ブツ モツ…もの もの-
分,ブン フン ブ,bun hun bu,わける わけ わかれる わかる わかつ,wakeru wake wakareru wakaru wakatsu ,part; minute of time; segment; share; degree; ones lot; duty; understand; know; rate; 1%; chances; shaku/10;,4,ブン フン ブ…わける わけ わかれる わかる わかつ
噴,フン,hun,ふく,fuku ,erupt; spout; emit; flush out;,1,フン…ふく
墳,フン,hun,,,tomb; mound;,1,フン…
憤,フン,hun,いきどおる,ikidooru ,aroused; resent; be indignant; anger;,1,フン…いきどおる
奮,フン,hun,ふるう,furuu ,stirred up; be invigorated; flourish;,1,フン…ふるう
粉,フン デシメートル,hun deshime-toru,こ こな,ko kona ,flour; powder; dust;,2,フン デシメートル…こ こな
紛,フン,hun,まぎれる まぎらす まぎらわす まぎらわしい,magireru magirasu magirawasu magirawashii ,distract; be mistaken for; go astray; divert;,1,フン…まぎれる まぎらす まぎらわす まぎらわしい
雰,フン,hun,,,atmosphere; fog;,1,フン…
文,ブン モン,bun mon,ふみ あや,fumi aya ,sentence; literature; style; art; decoration; figures; plan;,3,ブン モン…ふみ あや
聞,ブン モン,bun mon,きく きこえる,kiku kikoeru ,hear; ask; listen;,4,ブン モン…きく きこえる
丙,ヘイ,hei,ひのえ,hinoe ,third class; 3rd; 3rd calendar sign;,1,ヘイ…ひのえ
併,ヘイ,hei,あわせる,awaseru ,join; get together; unite; collective;,1,ヘイ…あわせる
兵,ヘイ ヒョウ,hei hyou,つわもの,tsuwamono ,soldier; private; troops; army; warfare; strategy; tactics;,2,ヘイ ヒョウ…つわもの
塀,ヘイ ベイ,hei bei,,,fence; wall; (kokuji);,1,ヘイ ベイ…
幣,ヘイ,hei,ぬさ,nusa ,cash; bad habit; humble prefix; gift; Shinto offerings of cloth; rope; cut paper;,1,ヘイ…ぬさ
平,ヘイ ビョウ ヒョウ,hei byou hyou,たいら ひら ひら-,taira hira hira ,even; flat; peace;,2,ヘイ ビョウ ヒョウ…たいら ひら ひら-
弊,ヘイ,hei,,,abuse; evil; vice; breakage;,1,ヘイ…
柄,ヘイ,hei,がら え つか,gara e tsuka ,design; pattern; build; nature; handle; crank; grip; knob; shaft;,1,ヘイ…がら え つか
並,ヘイ ホウ,hei hou,なみ ならべる ならぶ ならびに,nami naraberu narabu narabini ,row; and; besides; as well as; line up; rank with; rival; equal;,2,ヘイ ホウ…なみ ならべる ならぶ ならびに
閉,ヘイ,hei,とじる とざす しめる しまる たてる,tojiru tozasu shimeru shimaru tateru ,closed; shut;,2,ヘイ…とじる とざす しめる しまる たてる
陛,ヘイ,hei,,,highness; steps (of throne);,1,ヘイ…
米,ベイ マイ メエトル,bei mai meetoru,こめ よね,kome yone ,rice; USA; metre;,2,ベイ マイ メエトル…こめ よね
頁,ケツ,ketsu,ぺえじ おおがい かしら,peeji oogai kashira ,page; leaf;,1,ケツ…ぺえじ おおがい かしら
壁,ヘキ,heki,かべ,kabe ,wall; lining (stomach); fence;,1,ヘキ…かべ
癖,ヘキ,heki,くせ くせに,kuse kuseni ,mannerism; habit; vice; trait; fault; kink;,1,ヘキ…くせ くせに
碧,ヘキ ヒャク,heki hyaku,,,blue; green;,1,ヘキ ヒャク…
別,ベツ,betsu,わかれる わける,wakareru wakeru ,separate; branch off; diverge; fork; another; extra; specially;,3,ベツ…わかれる わける
偏,ヘン,hen,かたよる,katayoru ,partial; side; left-side radical; inclining; biased;,1,ヘン…かたよる
変,ヘン,hen,かわる かわり かえる,kawaru kawari kaeru ,unusual; change; strange;,2,ヘン…かわる かわり かえる
片,ヘン,hen,かた- かた,kata kata ,one-sided; leaf; sheet;,2,ヘン…かた- かた
編,ヘン,hen,あむ,amu ,compilation; knit; plait; braid; twist; editing; completed poem; part of a book;,2,ヘン…あむ
辺,ヘン,hen,あたり ほとり,atari hotori ,environs; boundary; border; vicinity;,2,ヘン…あたり ほとり
返,ヘン,hen,かえす かえる,kaesu kaeru ,return; answer; fade; repay;,2,ヘン…かえす かえる
遍,ヘン,hen,あまねく,amaneku ,everywhere; times; widely; generally;,1,ヘン…あまねく
便,ベン ビン,ben bin,たより,tayori ,convenience;,2,ベン ビン…たより
勉,ベン,ben,つとめる,tsutomeru ,exertion;,3,ベン…つとめる
弁,ベン ヘン,ben hen,わきまえる わける はなびら あらそう,wakimaeru wakeru hanabira arasou ,valve; petal; braid; speech; dialect; discrimination; dispose of; distinguish;,1,ベン ヘン…わきまえる わける はなびら あらそう
保,ホ ホウ,ho hou,たもつ,tamotsu ,protect; guarantee; keep; preserve; sustain; support;,1,ホ ホウ…たもつ
舗,ホ,ho,,,shop; store;,1,ホ…
捕,ホ,ho,とらえる とらわれる とる とらえる とらわれる つかまえる つかまる,toraeru torawareru toru toraeru torawareru tsukamaeru tsukamaru ,catch; capture;,2,ホ…とらえる とらわれる とる とらえる とらわれる つかまえる つかまる
歩,ホ ブ フ,ho bu hu,あるく あゆむ,aruku ayumu ,walk; counter for steps;,3,ホ ブ フ…あるく あゆむ
甫,ホ フ,ho hu,はじめて,hajimete ,for the first time; not until;,1,ホ フ…はじめて
補,ホ,ho,おぎなう,oginau ,supplement; supply; make good; offset; compensate; assistant; learner;,2,ホ…おぎなう
輔,ホ フ,ho hu,たすける,tasukeru ,help;,1,ホ フ…たすける
穂,スイ,sui,ほ,ho ,ear; ear (grain); head; crest (wave);,1,スイ…ほ
募,ボ,bo,つのる,tsunoru ,recruit; campaign; gather (contributions); enlist; grow violent;,2,ボ…つのる
墓,ボ,bo,はか,haka ,grave; tomb;,1,ボ…はか
慕,ボ,bo,したう,shitau ,pining; yearn for; love dearly; adore;,1,ボ…したう
暮,ボ,bo,くれる くらす,kureru kurasu ,livelihood; make a living; spend time;,2,ボ…くれる くらす
母,ボ,bo,はは も,haha mo ,mama; mother;,4,ボ…はは も
簿,ボ,bo,,,register; record book;,1,ボ…
倣,ホウ,hou,ならう,narau ,emulate; imitate;,1,ホウ…ならう
俸,ホウ,hou,,,stipend; salary;,1,ホウ…
包,ホウ,hou,つつむ くるむ,tsutsumu kurumu ,wrap; pack up; cover; conceal;,2,ホウ…つつむ くるむ
報,ホウ,hou,むくいる,mukuiru ,report; news; reward; retribution;,2,ホウ…むくいる
奉,ホウ ブ,hou bu,たてまつる まつる ほうずる,tatematsuru matsuru houzuru ,observance; offer; present; dedicate;,1,ホウ ブ…たてまつる まつる ほうずる
宝,ホウ,hou,たから,takara ,treasure; wealth; valuables;,2,ホウ…たから
峰,ホウ,hou,みね ね,mine ne ,summit; peak;,1,ホウ…みね ね
崩,ホウ,hou,くずれる くずす,kuzureru kuzusu ,crumble; die; demolish; level;,1,ホウ…くずれる くずす
抱,ホウ,hou,だく いだく かかえる,daku idaku kakaeru ,embrace; hug; hold in arms;,2,ホウ…だく いだく かかえる
放,ホウ,hou,はなす はなつ はなれる ほうる,hanasu hanatsu hanareru houru ,set free; release; fire; shoot; emit; banish; liberate;,2,ホウ…はなす はなつ はなれる ほうる
方,ホウ,hou,かた,kata ,direction; person; alternative;,3,ホウ…かた
朋,ホウ,hou,とも,tomo ,companion; friend;,1,ホウ…とも
法,ホウ ハッ ホッ フラン,hou hanull honull huran,のり,nori ,method; law; rule; principle; model; system;,2,ホウ ハッ ホッ フラン…のり
泡,ホウ,hou,あわ,awa ,bubbles; foam; suds; froth;,1,ホウ…あわ
砲,ホウ,hou,,,cannon; gun;,1,ホウ…
縫,ホウ,hou,ぬう,nuu ,sew; stitch; embroider;,1,ホウ…ぬう
胞,ホウ,hou,,,placenta; sac; sheath;,1,ホウ…
芳,ホウ,hou,かんばしい,kanbashii ,perfume; balmy; flavorable; fragrant;,1,ホウ…かんばしい
萌,ホウ,hou,もえる きざす めばえ きざし,moeru kizasu mebae kizashi ,show symptoms of; sprout; bud; malt;,1,ホウ…もえる きざす めばえ きざし
褒,ホウ,hou,ほめる,homeru ,praise; extol;,1,ホウ…ほめる
訪,ホウ,hou,おとずれる たずねる とう,otozureru tazuneru tou ,call on; visit; look up; offer sympathy;,2,ホウ…おとずれる たずねる とう
豊,ホウ ブ,hou bu,ゆたか とよ,yutaka toyo ,bountiful; excellent; rich;,2,ホウ ブ…ゆたか とよ
邦,ホウ,hou,くに,kuni ,home country; country; Japan;,1,ホウ…くに
飽,ホウ,hou,あきる あかす あく,akiru akasu aku ,sated; tired of; bored; satiate;,1,ホウ…あきる あかす あく
乏,ボウ,bou,とぼしい ともしい,toboshii tomoshii ,destitution; scarce; limited;,1,ボウ…とぼしい ともしい
亡,ボウ モウ,bou mou,ない なき- ほろびる ほろぶ ほろぼす,nai naki horobiru horobu horobosu ,deceased; the late; dying; perish;,2,ボウ モウ…ない なき- ほろびる ほろぶ ほろぼす
傍,ボウ,bou,かたわら わき おか- はた そば,katawara waki oka hata soba ,bystander; side; besides; while; nearby; 3rd person;,1,ボウ…かたわら わき おか- はた そば
剖,ボウ,bou,,,divide;,1,ボウ…
坊,ボウ ボッ,bou bonull,,,boy; priests residence; priest;,2,ボウ ボッ…
妨,ボウ,bou,さまたげる,samatageru ,disturb; prevent; hamper; obstruct;,1,ボウ…さまたげる
帽,ボウ モウ,bou mou,ずきん おおう,zukin oou ,cap; headgear;,2,ボウ モウ…ずきん おおう
忘,ボウ,bou,わすれる,wasureru ,forget;,2,ボウ…わすれる
忙,ボウ モウ,bou mou,いそがしい せわしい おそれる うれえるさま,isogashii sewashii osoreru ureerusama ,busy; occupied; restless;,2,ボウ モウ…いそがしい せわしい おそれる うれえるさま
房,ボウ,bou,ふさ,fusa ,tassel; tuft; fringe; bunch; lock (hair); segment (orange); house; room;,1,ボウ…ふさ
暴,ボウ バク,bou baku,あばく あばれる,abaku abareru ,outburst; rave; fret; force; violence; cruelty; outrage;,2,ボウ バク…あばく あばれる
望,ボウ モウ,bou mou,のぞむ もち,nozomu mochi ,ambition; full moon; hope; desire; aspire to; expect;,2,ボウ モウ…のぞむ もち
某,ボウ,bou,それがし なにがし,soregashi nanigashi ,so-and-so; one; a certain; that person;,1,ボウ…それがし なにがし
棒,ボウ,bou,,,rod; stick; cane; pole; club; line;,2,ボウ…
冒,ボウ,bou,おかす,okasu ,risk; face; defy; dare; damage; assume (a name);,1,ボウ…おかす
紡,ボウ,bou,つむぐ,tsumugu ,spinning;,1,ボウ…つむぐ
肪,ボウ,bou,,,obese; fat;,1,ボウ…
膨,ボウ,bou,ふくらむ ふくれる,fukuramu fukureru ,swell; get fat; thick;,1,ボウ…ふくらむ ふくれる
謀,ボウ ム,bou mu,はかる たばかる はかりごと,hakaru tabakaru hakarigoto ,conspire; cheat; impose on; plan; devise; scheme; have in mind; deceive;,1,ボウ ム…はかる たばかる はかりごと
貿,ボウ,bou,,,trade; exchange;,2,ボウ…
防,ボウ,bou,ふせぐ,fusegu ,ward off; defend; protect; resist;,2,ボウ…ふせぐ
北,ホク,hoku,きた,kita ,north;,4,ホク…きた
僕,ボク,boku,しもべ,shimobe ,me; I (male);,1,ボク…しもべ
墨,ボク,boku,すみ,sumi ,black ink; India ink; ink stick; Mexico;,1,ボク…すみ
撲,ボク,boku,,,slap; strike; hit; beat; tell; speak;,1,ボク…
朴,ボク,boku,ほう ほお,hou hoo ,crude; simple; plain; docile;,1,ボク…ほう ほお
牧,ボク,boku,まき,maki ,breed; care for; shepherd; feed; pasture;,1,ボク…まき
睦,ボク モク,boku moku,むつまじい むつむ むつぶ,mutsumajii mutsumu mutsubu ,intimate; friendly; harmonious;,1,ボク モク…むつまじい むつむ むつぶ
没,ボツ モツ,botsu motsu,おぼれる しずむ ない,oboreru shizumu nai ,drown; sink; hide; fall into; disappear; die;,1,ボツ モツ…おぼれる しずむ ない
堀,クツ,kutsu,ほり,hori ,ditch; moat; canal;,1,クツ…ほり
奔,ホン,hon,,,bustle; run;,1,ホン…
本,ホン,hon,もと,moto ,book; present; main; true; real; counter for long things;,4,ホン…もと
翻,ホン ハン,hon han,ひるがえる ひるがえす,hirugaeru hirugaesu ,flip; turn over; wave; flutter; change (mind);,1,ホン ハン…ひるがえる ひるがえす
凡,ボン ハン,bon han,およそ おうよそ すべて,oyoso ouyoso subete ,mediocre;,1,ボン ハン…およそ おうよそ すべて
盆,ボン,bon,,,basin; lantern festival; tray;,1,ボン…
摩,マ,ma,まする さする する,masuru sasuru suru ,chafe; rub; polish; grind; scrape;,1,マ…まする さする する
磨,マ,ma,みがく する,migaku suru ,grind; polish; scour; improve; brush (teeth);,2,マ…みがく する
魔,マ,ma,,,witch; demon; evil spirit;,1,マ…
麻,マ マア,ma maa,あさ,asa ,hemp; flax;,1,マ マア…あさ
埋,マイ,mai,うめる うまる うもれる うずめる うずまる いける,umeru umaru umoreru uzumeru uzumaru ikeru ,bury; be filled up; embedded;,2,マイ…うめる うまる うもれる うずめる うずまる いける
妹,マイ,mai,いもうと,imouto ,younger sister;,3,マイ…いもうと
枚,マイ バイ,mai bai,,,sheet of...; counter for flat thin objects or sheets;,2,マイ バイ…
毎,マイ,mai,ごと,goto ,every;,4,マイ…ごと
槙,テン シン,ten shin,まき こずえ,maki kozue ,twig; ornamental evergreen;,1,テン シン…まき こずえ
幕,マク バク,maku baku,,,curtain; bunting; act of play;,1,マク バク…
膜,マク,maku,,,membrane;,1,マク…
亦,エキ ヤク,eki yaku,また,mata ,also; again;,1,エキ ヤク…また
又,ユウ,yuu,また また- またの-,mata mata matano ,or again; furthermore; on the other hand;,1,ユウ…また また- またの-
抹,マツ,matsu,,,rub; paint; erase;,1,マツ…
末,マツ バツ,matsu batsu,すえ,sue ,end; close; tip; powder; posterity;,2,マツ バツ…すえ
迄,キツ,kitsu,まで およぶ,made oyobu ,until; up to; as far as; to the extent;,1,キツ…まで およぶ
繭,ケン,ken,まゆ きぬ,mayu kinu ,cocoon;,1,ケン…まゆ きぬ
麿,,,まろ,maro ,I; you; (kokuji);,1,…まろ
万,マン バン,man ban,よろず,yorozu ,ten thousand;,4,マン バン…よろず
慢,マン,man,,,ridicule; laziness;,1,マン…
満,マン バン,man ban,みちる みつ みたす,michiru mitsu mitasu ,full; enough; pride; satisfy;,2,マン バン…みちる みつ みたす
漫,マン,man,みがりに,migarini ,cartoon; involuntarily; in spite of oneself; corrupt;,1,マン…みがりに
味,ミ,mi,あじ あじわう,aji ajiwau ,flavor; taste;,3,ミ…あじ あじわう
未,ミ ビ,mi bi,いまだ まだ ひつじ,imada mada hitsuji ,un-; not yet; hitherto; still; even now; eighth sign of Chinese zodiac; sign of the ram;,2,ミ ビ…いまだ まだ ひつじ
魅,ミ,mi,,,fascination; charm; bewitch;,1,ミ…
巳,シ,shi,み,mi ,sign of the snake or serpent; 9-11AM; sixth sign of Chinese zodiac;,1,シ…み
岬,コウ,kou,みさき,misaki ,headland; cape; spit; promontory;,1,コウ…みさき
密,ミツ,mitsu,ひそか,hisoka ,secrecy; density (pop); minuteness; carefulness;,1,ミツ…ひそか
稔,ネン ジン ニン,nen zin nin,みのる みのり,minoru minori ,harvest; ripen;,1,ネン ジン ニン…みのる みのり
脈,ミャク,myaku,すじ,suji ,vein; pulse; hope;,1,ミャク…すじ
妙,ミョウ ビョウ,myou byou,たえ,tae ,exquisite; strange; queer; mystery; miracle; excellent; delicate; charming;,1,ミョウ ビョウ…たえ
民,ミン,min,たみ,tami ,people; nation; subjects;,2,ミン…たみ
眠,ミン,min,ねむる ねむい,nemuru nemui ,sleep; die; sleepy;,2,ミン…ねむる ねむい
務,ム,mu,つとめる,tsutomeru ,task; duties;,2,ム…つとめる
夢,ム ボウ,mu bou,ゆめ ゆめみる くらい,yume yumemiru kurai ,dream; vision; illusion;,2,ム ボウ…ゆめ ゆめみる くらい
無,ム ブ,mu bu,ない,nai ,nothingness; none; aint; nothing; nil; not;,2,ム ブ…ない
矛,ム ボウ,mu bou,ほこ,hoko ,halberd; arms; festival float;,1,ム ボウ…ほこ
霧,ム ボウ ブ,mu bou bu,きり,kiri ,fog; mist;,1,ム ボウ ブ…きり
婿,セイ,sei,むこ,muko ,bridegroom; son-in-law;,1,セイ…むこ
娘,ジョウ,zyou,むすめ こ,musume ko ,daughter; girl;,2,ジョウ…むすめ こ
名,メイ ミョウ,mei myou,な,na ,name; noted; distinguished; reputation;,4,メイ ミョウ…な
命,メイ ミョウ,mei myou,いのち,inochi ,fate; command; decree; destiny; life; appoint;,2,メイ ミョウ…いのち
明,メイ ミョウ ミン,mei myou min,あかり あかるい あかるむ あからむ あきらか あける あく あくる あかす,akari akarui akarumu akaramu akiraka akeru aku akuru akasu ,bright; light;,3,メイ ミョウ ミン…あかり あかるい あかるむ あからむ あきらか あける あく あくる あかす
盟,メイ,mei,,,alliance; oath;,1,メイ…
迷,メイ,mei,まよう,mayou ,astray; be perplexed; in doubt; lost; err; illusion;,2,メイ…まよう
銘,メイ,mei,,,inscription; signature (of artisan);,1,メイ…
鳴,メイ,mei,なく なる ならす,naku naru narasu ,chirp; cry; bark; sound; ring; echo; honk;,2,メイ…なく なる ならす
滅,メツ,metsu,ほろびる ほろぶ ほろぼす,horobiru horobu horobosu ,destroy; ruin; overthrow; perish;,1,メツ…ほろびる ほろぶ ほろぼす
免,メン,men,まぬかれる まぬがれる,manukareru manugareru ,excuse; dismissal;,1,メン…まぬかれる まぬがれる
綿,メン,men,わた,wata ,cotton;,2,メン…わた
面,メン ベン,men ben,おも おもて つら,omo omote tsura ,mask; face; features; surface;,2,メン ベン…おも おもて つら
模,モ ボ,mo bo,,,imitation; copy; mock;,1,モ ボ…
茂,モ,mo,しげる,shigeru ,overgrown; grow thick; be luxuriant;,1,モ…しげる
妄,モウ ボウ,mou bou,みだりに,midarini ,delusion; unnecessarily; without authority; reckless;,1,モウ ボウ…みだりに
孟,モウ ボウ ミョウ,mou bou myou,かしら,kashira ,chief; beginning;,1,モウ ボウ ミョウ…かしら
毛,モウ,mou,け,ke ,fur; hair; feather; down;,2,モウ…け
猛,モウ,mou,,,fierce; rave; rush; become furious; wildness; strength;,1,モウ…
盲,モウ,mou,めくら,mekura ,blind; blind man; ignoramus;,1,モウ…めくら
網,モウ,mou,あみ,ami ,netting; network;,1,モウ…あみ
耗,モウ コウ カウ,mou kou kau,,,decrease;,1,モウ コウ カウ…
木,ボク モク,boku moku,き こ-,ki ko ,tree; wood;,4,ボク モク…き こ-
黙,モク ボク,moku boku,だまる もだす,damaru modasu ,silence; become silent; stop speaking; leave as is;,1,モク ボク…だまる もだす
目,モク ボク,moku boku,め ま-,me ma ,eye; class; look; insight; experience; care; favor;,3,モク ボク…め ま-
戻,レイ,rei,もどす もどる,modosu modoru ,re-; return; revert; resume; restore; go backwards;,2,レイ…もどす もどる
問,モン,mon,とう とい とん,tou toi ton ,question; ask; problem;,3,モン…とう とい とん
紋,モン,mon,,,family crest; figures;,1,モン…
門,モン,mon,かど と,kado to ,gates;,2,モン…かど と
