kanji,on,romaji on,kun,romaji kun,meaning,level,on…romaji kun
羽,ウ,u,は わ はね,ha wa hane ,feathers; counter for birds rabbits;,2,ウ…は わ はね
雨,ウ,u,あめ あま-,ame ama ,rain;,4,ウ…あめ あま-
卯,ボウ モウ,bou mou,う,u ,sign of the hare; 5-7AM; fourth sign of Chinese zodiac; sign of the rabbit; east;,1,ボウ モウ…う
丑,チュウ,tyuu,うし,ushi ,sign of the ox or cow; 1-3AM; second sign of Chinese zodiac;,1,チュウ…うし
渦,カ,ka,うず,uzu ,whirlpool; eddy; vortex;,1,カ…うず
浦,ホ,ho,うら,ura ,bay; creek; inlet; gulf; beach; seacoast;,1,ホ…うら
云,ウン,un,いう ここに,iu kokoni ,say;,1,ウン…いう ここに
運,ウン,un,はこぶ,hakobu ,carry; luck; destiny; fate; lot; transport; progress; advance;,3,ウン…はこぶ
雲,ウン,un,くも,kumo ,cloud;,2,ウン…くも
営,エイ,ei,いとなむ いとなみ,itonamu itonami ,occupation; camp; perform; build; conduct (business);,2,エイ…いとなむ いとなみ
影,エイ,ei,かげ,kage ,shadow; silhouette; phantom;,1,エイ…かげ
映,エイ,ei,うつる うつす はえる,utsuru utsusu haeru ,reflect; reflection; projection;,3,エイ…うつる うつす はえる
栄,エイ ヨウ,ei you,さかえる はえ はえる え,sakaeru hae haeru e ,flourish; prosperity; honor; glory; splendor;,2,エイ ヨウ…さかえる はえ はえる え
永,エイ,ei,ながい,nagai ,eternity; long; lengthy;,2,エイ…ながい
泳,エイ,ei,およぐ,oyogu ,swim;,2,エイ…およぐ
瑛,エイ,ei,,,sparkle of jewelry; crystal;,1,エイ…
英,エイ,ei,はなぶさ,hanabusa ,England; English;,3,エイ…はなぶさ
衛,エイ エ,ei e,,,defense; protection;,1,エイ エ…
詠,エイ,ei,よむ うたう,yomu utau ,recitation; poem; song; composing;,1,エイ…よむ うたう
鋭,エイ,ei,するどい,surudoi ,pointed; sharpness; edge; weapon; sharp; violent;,2,エイ…するどい
液,エキ,eki,,,fluid; liquid; juice; sap; secretion;,2,エキ…
疫,エキ ヤク,eki yaku,,,epidemic;,1,エキ ヤク…
益,エキ ヤク,eki yaku,ます,masu ,benefit; gain; profit; advantage;,1,エキ ヤク…ます
駅,エキ,eki,,,station;,3,エキ…
悦,エツ,etsu,よろこぶ よろこばす,yorokobu yorokobasu ,ecstasy; joy; rapture;,1,エツ…よろこぶ よろこばす
謁,エツ,etsu,,,audience; audience (with king);,1,エツ…
越,エツ オツ,etsu otsu,こす こえる,kosu koeru ,surpass; cross over; move to; exceed; Vietnam;,2,エツ オツ…こす こえる
閲,エツ,etsu,けみする,kemisuru ,review; inspection; revision;,1,エツ…けみする
円,エン,en,まるい まる まど まどか まろやか,marui maru mado madoka maroyaka ,circle; yen; round;,4,エン…まるい まる まど まどか まろやか
園,エン,en,その,sono ,park; garden; yard; farm;,2,エン…その
宴,エン,en,うたげ,utage ,banquet; feast; party;,1,エン…うたげ
延,エン,en,のびる のべる のべ のばす,nobiru noberu nobe nobasu ,prolong; stretching;,2,エン…のびる のべる のべ のばす
援,エン,en,,,abet; help; save;,1,エン…
沿,エン,en,そう,sou ,run alongside; follow along; run along; lie along;,1,エン…そう
演,エン,en,,,performance; act; play; render; stage;,2,エン…
炎,エン,en,ほのお,honoo ,inflammation; flame; blaze;,1,エン…ほのお
煙,エン,en,けむる けむり けむい,kemuru kemuri kemui ,smoke;,2,エン…けむる けむり けむい
猿,エン,en,さる,saru ,monkey;,1,エン…さる
縁,エン,en,ふち ふちどる ゆかり よすが へり えにし,fuchi fuchidoru yukari yosuga heri enishi ,affinity; relation; connection; edge; border; verge; brink;,1,エン…ふち ふちどる ゆかり よすが へり えにし
艶,エン,en,つや なまめかしい あでやか つやめく なまめく,tsuya namamekashii adeyaka tsuyameku namameku ,glossy; luster; glaze; polish; charm; colorful; captivating;,1,エン…つや なまめかしい あでやか つやめく なまめく
苑,エン オン,en on,その うつ,sono utsu ,garden; farm; park;,1,エン オン…その うつ
遠,エン オン,en on,とおい,tooi ,distant; far;,2,エン オン…とおい
鉛,エン,en,なまり,namari ,lead;,1,エン…なまり
塩,エン,en,しお,shio ,salt;,2,エン…しお
汚,オ,o,けがす けがれる けがらわしい よごす よごれる きたない,kegasu kegareru kegarawashii yogosu yogoreru kitanai ,dirty; pollute; disgrace; rape; defile;,2,オ…けがす けがれる けがらわしい よごす よごれる きたない
凹,オウ,ou,くぼむ へこむ ぼこ,kubomu hekomu boko ,concave; hollow; sunken;,1,オウ…くぼむ へこむ ぼこ
央,オウ,ou,,,center; middle;,2,オウ…
奥,オウ オク,ou oku,おくまる くま,okumaru kuma ,heart; interior;,2,オウ オク…おくまる くま
往,オウ,ou,いく いにしえ さきに ゆく,iku inishie sakini yuku ,journey; chase away; let go; going; travel;,1,オウ…いく いにしえ さきに ゆく
応,オウ ヨウ,ou you,あたる まさに こたえる,ataru masani kotaeru ,apply; answer; yes; OK; reply; accept;,1,オウ ヨウ…あたる まさに こたえる
押,オウ,ou,おす おし- おっ- おさえる おさえる,osu oshi oxtu osaeru osaeru ,push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of;,2,オウ…おす おし- おっ- おさえる おさえる
横,オウ,ou,よこ,yoko ,sideways; side; horizontal; width; woof;,2,オウ…よこ
欧,オウ,ou,うたう はく,utau haku ,Europe;,2,オウ…うたう はく
殴,オウ,ou,なぐる,naguru ,assault; hit; beat; thrash;,1,オウ…なぐる
王,オウ,ou,,,king; rule; magnate;,2,オウ…
翁,オウ,ou,おきな,okina ,venerable old man;,1,オウ…おきな
黄,コウ オウ,kou ou,き こ-,ki ko ,yellow;,2,コウ オウ…き こ-
岡,コウ,kou,おか,oka ,mount; hill; knoll;,1,コウ…おか
